date,1D,5D,10D
2012-01-04,0.30372714627366426,0.048808938955979306,0.21537011436471035
2012-01-05,0.07497830930088635,-0.17413354846817772,0.14500231370343708
2012-01-06,-0.1161897459093934,-0.04792985800984439,0.09968387099203306
2012-01-09,-0.35486219741916697,0.35804787851087005,0.22053606135960066
2012-01-10,-0.23808290144882993,0.5362078913330909,0.4146161448314754
2012-01-11,0.07505959577842038,0.58339853602384,0.36916243740523424
2012-01-12,0.38590824617718034,0.6191510938112631,0.4464898787507195
2012-01-13,0.3343097042277841,0.3571217181752844,0.03171433260589955
2012-01-16,0.10346761904793761,-0.01582890793417109,-0.3175009201324991
2012-01-17,0.5501360467359963,-0.03546816507467487,-0.4508775418590484
2012-01-18,0.08876600582143966,-0.6120589685383189,-0.5620162921155758
2012-01-19,-0.37969111697458646,-0.5537143438192331,-0.6880753047846387
2012-01-20,-0.531546924034926,-0.5110655626383577,-0.6071610122936787
2012-01-30,0.011799054825016414,-0.37889486052357696,-0.45051469832166086
2012-01-31,-0.34302085411751254,-0.4254676730513526,-0.44794816719094854
2012-02-01,0.1521186412026472,-0.13469962752799175,-0.14399170531322023
2012-02-02,-0.17234048865418541,-0.30584435274363453,-0.34925801225749664
2012-02-03,-0.15488495611636077,-0.24988829536369145,-0.19683297358450008
2012-02-06,-0.023797616070684334,0.015093148841935324,0.00989177043281811
2012-02-07,-0.12346271747832269,0.03933644471999278,0.07552308961126585
2012-02-08,-0.07737414411559221,0.03831375650869926,0.06287762416794673
2012-02-09,-0.10825965912136028,0.24113924942572473,0.1952338618474242
2012-02-10,0.14229892111621203,0.08072723866964501,0.26906668799341926
2012-02-13,-0.00358575301972789,-0.036135713441605675,0.06936945171204315
2012-02-14,0.0030859657012261106,0.018320877715718074,-0.05642598552472999
2012-02-15,-0.02106598705211725,0.15050328118145104,0.057644241589297214
2012-02-16,-0.206187535321894,-0.0020542232682486546,0.014766871936659548
2012-02-17,-0.227087139745766,0.0015121601187025424,0.03209069951759838
2012-02-20,0.13483089969101644,0.2106860087254708,0.20440918323083346
2012-02-21,0.13759627264317287,-0.0839689707087478,0.15745431622651831
2012-02-22,-0.14374029264830712,-0.051809398868222396,0.21068857599009186
2012-02-23,0.10833973147528324,0.0462223085447919,0.1857199779015955
2012-02-24,-0.01215647313002801,0.08823490176570412,0.03298498004380357
2012-02-27,0.29078482444585585,0.002652532951921818,-0.1071421642312973
2012-02-28,-0.12566635479779473,-0.2269688833505784,-0.3602391196451992
2012-02-29,-0.20138061230630766,-0.2691935060038617,-0.2235435922629589
2012-03-01,-0.14791900885747952,-0.08004167861542649,-0.039053203735017514
2012-03-02,0.1182422455676259,0.04983985574961096,-0.05182015958774269
2012-03-05,0.21300725927180747,0.03205296651319022,-0.07317856204371224
2012-03-06,0.05118180516350157,-0.11963927420367698,-0.14655763656947438
2012-03-07,0.023358902296707344,-0.31588698942854104,-0.2132726258431335
2012-03-08,-0.15422767306193377,-0.2940725672393682,-0.19888151301441456
2012-03-09,0.04777574996094924,-0.06602639082662759,-0.17482983131103877
2012-03-12,-0.10643433302083181,0.20355774800641271,-0.08125349380158496
2012-03-13,-0.3156870251333637,0.10494599717722389,-0.15825905254568187
2012-03-14,0.36784731417743965,0.16108576813034584,-0.10016797678658904
2012-03-15,0.20967306273422295,-0.3071174903817698,-0.17854911521676836
2012-03-16,-0.05398380410745008,-0.43159195216016766,-0.31315266562381094
2012-03-19,-0.2215866052031837,-0.33341035720703466,-0.3702847036585159
2012-03-20,-0.23042395352825862,-0.3907622502768053,-0.3088782550485781
2012-03-21,-0.3627040887817975,-0.3958709883807283,-0.33041356678899486
2012-03-22,-0.26080165075188244,-0.22464562464562463,-0.2479729707195443
2012-03-23,-0.03405785078099115,-0.19285582276877453,-0.11247896171241623
2012-03-26,-0.10559207399326395,-0.194406397553682,-0.14492194477190726
2012-03-27,-0.07587151645746516,-0.09507123516172153,-0.12716936692945752
2012-03-28,0.20368558792307576,0.20197680698986137,0.10110051109245308
2012-03-29,0.032136328340252644,0.027192751950826606,-0.04665875862841332
2012-03-30,-0.11046825111570893,-0.16726242048320397,-0.2012678747345322
2012-04-05,-0.08182364207132949,-0.050715477687422454,-0.08174705152674988
2012-04-06,0.028950441234555715,-0.0270726094255506,-0.08179207805487937
2012-04-09,0.06834260452113496,0.07555304106157902,-0.07286719561061082
2012-04-10,0.16424599011721122,-0.25346740282241,-0.117498362368506
2012-04-11,-0.16537326728333182,-0.22799216294495353,-0.12936179429873357
2012-04-12,-0.32736200849291586,-0.24293562209352715,-0.03954583969233919
2012-04-13,0.14108358983333358,0.014864518894980566,-0.03496827628582189
2012-04-16,-0.4081861509280957,0.020957326942847795,-0.0036915018719576266
2012-04-17,0.12317138515215718,0.04122176486004219,-0.0012334278880883607
2012-04-18,0.037788693874768846,0.09278537725358531,0.008705799698886718
2012-04-19,0.11449925692823493,0.0957336573291391,-0.07415842672243268
2012-04-20,0.07165334583464819,-0.00850136970651275,-0.2106740247515777
2012-04-23,0.10602553377821125,-0.02598348969532397,-0.2257783681026447
2012-04-24,-0.0838774694037704,-0.12744391746030953,-0.4223628001149954
2012-04-25,-0.04112906014322798,-0.32937917201012795,-0.449897255779547
2012-04-26,-0.03490356553618636,-0.313910710054951,-0.3803442547224311
2012-04-27,0.007626988175878697,-0.38313335643650864,-0.28643652346108334
2012-05-02,-0.0806280182425919,-0.30064013704819653,-0.22611762060757803
2012-05-03,-0.1937017947045752,-0.1795996571963163,-0.10987744973548864
