date,1D,5D,10D
2012-01-04,-0.02667579917608409,-0.004570557988954485,-0.08611130347466284
2012-01-05,-0.0851121546487655,0.02289341685266518,-0.13718290253677973
2012-01-06,-0.05228064505431678,-0.1289077440051033,-0.08946589599620045
2012-01-09,0.09356039174748385,-0.16340048451366715,-0.09164233185472437
2012-01-10,0.11335400027302621,-0.2627619263937471,-0.2017359318124976
2012-01-11,0.02443805167082653,-0.13287885696512336,-0.04648985596381852
2012-01-12,-0.029362824836160213,-0.2439295255234534,-0.1552173562361671
2012-01-13,-0.017529000906764673,-0.024912005109025578,-0.03382710793183562
2012-01-16,-0.14494187589802762,-0.06360586810280351,0.06415484573834833
2012-01-17,-0.3449517769404817,0.05605985387111075,0.21651636336312471
2012-01-18,-0.0584630134902083,0.3441732214837821,0.20768938051936126
2012-01-19,0.23018544063846677,0.25866335063811674,0.2193110259554094
2012-01-20,0.27211161256306443,0.13437696080108114,0.18897098947929653
2012-01-30,-0.10313680318348986,0.10155049756220515,0.17173005467268662
2012-01-31,0.13845167737445085,0.26329267880325147,0.23263551768362656
2012-02-01,-0.10511798917801142,0.224910443648388,0.19606520664663404
2012-02-02,0.16876129796935577,0.3022056364963874,0.24109451926831227
2012-02-03,0.23974267549852193,0.1722220927217309,0.12863620723920982
2012-02-06,-0.03323761688382846,0.002473617407597449,-0.05545421806021136
2012-02-07,0.051615700867111536,0.07002315101429138,0.06767921901499689
2012-02-08,0.04469436017423975,-0.009376849355872845,0.029052561595961986
2012-02-09,0.028584189447100967,-0.09581578058621733,-0.07549205547934121
2012-02-10,0.0573164873754284,-0.013280493815711879,-0.1348959768531276
2012-02-13,-0.023597067022245854,-0.013185265081858253,-0.12539951573849878
2012-02-14,0.028365490337527912,-0.051832940478348036,-0.08876904239870155
2012-02-15,-0.06070488947665432,-0.1797503029232264,-0.13075288619562742
2012-02-16,0.091722427471489,0.018233192055181587,-0.05702826000428647
2012-02-17,0.16801851513213562,0.007781598301911916,-0.006250342672295631
2012-02-20,-0.0609506204022721,-0.04140618002686969,-0.19485669502910882
2012-02-21,0.014860882875574596,0.16961435736263747,-0.08303588278181034
2012-02-22,0.11507140796798092,0.05609898201945329,-0.10838138010648884
2012-02-23,-0.09438608499756222,-0.11431677764593909,-0.043257925745214136
2012-02-24,0.009792836321689235,-0.06820389897742517,0.06099600715773729
2012-02-27,-0.32013078867531997,0.001363040223971216,0.08609716882929495
2012-02-28,-0.003140720395626896,0.04974638687145071,0.11678110819202295
2012-02-29,-0.12583677897060944,-0.1704997699562917,-0.08409535311709225
2012-03-01,0.0030870013435337273,-0.068411605740678,0.09438568392387177
2012-03-02,-0.13177066485491087,-0.025318563905429543,0.0605265171075797
2012-03-05,-0.037686551826652995,0.06878679163388765,0.04831063668176764
2012-03-06,0.043833385911424626,0.051220829854878414,0.0244769510914325
2012-03-07,-0.16149640782877397,0.130231214940799,-0.09084485407066051
2012-03-08,0.005747271172185457,0.20938043442787274,0.08062421878242593
2012-03-09,-0.02291200427135889,0.11145769365133552,0.1219361202152616
2012-03-12,-0.04998945334717004,-0.14312732059833777,-0.03080920220088907
2012-03-13,0.1475512516019543,-0.019718580920013825,0.12599299295358818
2012-03-14,0.14771100895088257,-0.040438168741668105,0.20869390257564033
2012-03-15,0.1822148001252479,0.00511428869637825,-0.05170650245277112
2012-03-16,0.05948199264490884,0.056452459329230466,0.14205906206764943
2012-03-19,0.002668073492477836,0.01527409896214456,0.09623094602533318
2012-03-20,-0.07599411527866577,0.054038333281895216,0.23316349959546046
2012-03-21,0.17799934797809042,0.27139005592233745,0.3872550420608381
2012-03-22,0.16282412679448166,0.31202512741053257,0.38856290785737313
2012-03-23,0.07854236899946239,0.2649584852611695,0.2750591712139065
2012-03-26,-0.08833131550006076,0.1745173745173745,0.17416637416637418
2012-03-27,0.16511062439280125,0.18415722208825658,0.12730299745103027
2012-03-28,0.21022979737322792,-0.04668008048289738,-0.06995305164319249
2012-03-29,0.07203495083981752,-0.3036820572764466,-0.31502045587375804
2012-03-30,-0.01905372943021064,-0.08791143206708243,-0.10547282981707497
2012-04-05,-0.10081894905151798,-0.0826679584020243,0.05871435880470112
2012-04-06,0.18013143626289263,-0.03256735349159352,0.0602375606229708
2012-04-09,-0.014927140157879451,-0.09607046201010247,-0.029742089635504794
2012-04-10,0.033972015520863395,0.001923907612646568,-0.011224950882270043
2012-04-11,0.12421067337349895,0.12246798124689261,0.115007827491135
2012-04-12,0.06813010036808358,0.0761550882808336,-0.036221857719329294
2012-04-13,-0.03188862825423022,-0.0682858288421237,0.0006339092697040131
2012-04-16,0.06435877473010612,-0.028912338218104607,0.09269507367023203
2012-04-17,-0.002901834819539607,0.027519984266062048,0.07383168498549555
2012-04-18,-0.06241837267692609,0.12493139799767727,0.1699040495873171
2012-04-19,-0.09437907081213463,0.06535374707266972,0.19438107797225998
2012-04-20,-0.12530049126446963,0.01660986767369746,0.14700554625460757
2012-04-23,-0.09952807786556053,0.04652552998496519,0.09574644845451435
2012-04-24,0.04391422685093098,0.24063369283472447,0.21474392547704724
2012-04-25,0.09640710040259626,0.3010327236531044,0.23028414577409703
2012-04-26,0.12149115136181433,0.10202220537612745,0.08860878115371967
2012-04-27,0.05401839914758086,0.12028355676287866,0.10301508589123928
2012-05-02,-0.05183249510271983,0.04762540667139579,0.06498384167512418
2012-05-03,0.07103036334659561,0.046975835590636346,0.008773410291436856
2012-05-04,-0.025372083624325786,-0.04411341111248821,0.007541678148250207
2012-05-07,-0.04672490336213569,-0.08831874828079761,-0.04443771009235905
