date,1D,5D,10D
2012-01-04,0.36233665708059953,-0.0736926891130737,0.1466427502370697
2012-01-05,-0.06426894259374093,-0.25463073698549055,0.1188699165850548
2012-01-06,-0.04055964467963248,0.02601482970968958,0.19291137818290768
2012-01-09,-0.31846206964585183,0.38199916208637147,0.2397643237226949
2012-01-10,-0.25855126474230794,0.4760775308127242,0.3389819083418635
2012-01-11,0.07123786184924578,0.5210437218065809,0.2850673649384666
2012-01-12,0.38034379483354713,0.5463486476993352,0.36908928694106546
2012-01-13,0.4119452286054183,0.4289307910201666,0.11051455491744384
2012-01-16,0.17527478287331474,0.09068563015931437,-0.2473855092276145
2012-01-17,0.49790199215535713,0.0375443121499713,-0.3212825844596127
2012-01-18,0.0793854676959861,-0.5699539703886344,-0.44580713545740147
2012-01-19,-0.38100339108374914,-0.515006243795101,-0.5311825297287139
2012-01-20,-0.3554250818438902,-0.4107031435616655,-0.4197560007427655
2012-01-30,-0.09079257856272081,-0.44048325309210934,-0.4578068646837348
2012-01-31,-0.4679023122085128,-0.3939145181146972,-0.3742580792149438
2012-02-01,0.3181067576154442,0.0851851048345618,0.03295561129802155
2012-02-02,-0.023079661323387783,0.015096346984501404,-0.021793906260239467
2012-02-03,-0.13908305251078787,0.009688695142510936,0.04314497236586439
2012-02-06,-0.10154086140582765,-0.0025435081598717043,-0.014989479500218417
2012-02-07,0.08339602644404098,-0.1692278155625943,-0.13247699897278406
2012-02-08,-0.2507245742936807,-0.10842300362174091,-0.0749133935011743
2012-02-09,-0.09011217715429974,0.06953136950309911,0.12152751578309877
2012-02-10,0.3222428338789429,0.12765072600319569,0.1518326641109072
2012-02-13,-0.03933761834130111,-0.07652681889960106,0.006952717692301238
2012-02-14,-0.11808198589046602,0.05542077405970753,-0.1497711198678862
2012-02-15,-0.07001339919509877,0.12500230712854318,-0.16139301740857848
2012-02-16,-0.011314834691373522,0.1101649263455607,-0.07529966484609683
2012-02-17,-0.09722502700349532,-0.05168159039167321,-0.10689950039628786
2012-02-20,0.15557032770320264,0.01943163959961128,0.039559417456218646
2012-02-21,0.21319957320521446,-0.22900794755904813,0.018108152496025726
2012-02-22,-0.19442309582048817,-0.34828908921062895,0.006452726468803732
2012-02-23,-0.2364228969938611,-0.27564188068879325,0.06431481581225999
2012-02-24,-0.07445744569809847,-0.09347318711007549,0.1820322473323937
2012-02-27,-0.2896792934391601,0.05166041082090322,0.2894661857403971
2012-02-28,-0.07838210454644959,0.20083623729756792,0.35345110171863137
2012-02-29,0.0396889243656096,0.08568444185350067,0.2266158518559657
2012-03-01,0.13600539044123863,0.20057153874174585,0.21369473152413507
2012-03-02,0.23506751656791816,0.22009205878377855,0.12078811486822184
2012-03-05,0.11703305727874813,0.15674477589772304,0.04551395569367167
2012-03-06,-0.027808777226006977,-0.06420864698155515,-0.1388824705353593
2012-03-07,0.045110718601485626,-0.2447403276822974,-0.20505356330819444
2012-03-08,-0.03757705760398189,-0.1456359917278531,-0.2191088337030436
2012-03-09,0.12517179699064887,-0.008931803615410813,-0.20709559014584142
2012-03-12,-0.24572455403117113,0.13666438639706635,-0.18231718971437041
2012-03-13,-0.18708976274253777,0.08269971914122833,-0.2426725222589151
2012-03-14,0.1975138251814554,0.020428582649622263,-0.14472412044877248
2012-03-15,0.2170914038714776,-0.2063733418750535,-0.14487419521431874
2012-03-16,-0.11701100975151912,-0.36530602178722926,-0.3209658629161441
2012-03-19,-0.20074034721240636,-0.3035207146139928,-0.3315349353727944
2012-03-20,-0.2694439677535028,-0.4086927244772769,-0.20896610697181942
2012-03-21,-0.24699747270964342,-0.38632536245958393,-0.21351417662955638
2012-03-22,-0.1958100267519702,-0.18263871575448348,-0.16996421498807285
2012-03-23,-0.03674630653278381,-0.1784657333365208,-0.17565612197486424
2012-03-26,-0.2667476423536979,-0.27443714334452185,-0.33890853665797394
2012-03-27,-0.05223731813789066,-0.13594270107666204,-0.2692602876200776
2012-03-28,0.0496503977400259,-0.11109980984763738,-0.21740306430072748
2012-03-29,0.03183583933134709,-0.1609514778296983,-0.20669113721799184
2012-03-30,-0.35418989916608096,-0.2580027897743324,-0.21185305691278633
2012-04-05,-0.05787445894576879,-0.03374546538015069,-0.10919933660915644
2012-04-06,0.05460064781001781,-0.09639454345336697,-0.07161719446374099
2012-04-09,0.14091767835030375,-0.0004403952870658149,-0.037891599374286565
2012-04-10,0.08480289752099074,-0.16488675434990954,0.005279665289167988
2012-04-11,-0.1385931092709159,-0.13734595339349925,0.09547921460337794
2012-04-12,-0.33134894545693844,-0.16377147830701858,0.1716269512143468
2012-04-13,0.21981890439371585,0.030855516591102815,0.11568669419935679
2012-04-16,-0.32622223182826143,-0.02035819630122343,0.04010904238683986
2012-04-17,0.09201239841048962,0.11690169543717428,0.08150165513635631
2012-04-18,0.022494291231235742,0.08880163136547096,0.002248194478388473
2012-04-19,-0.037989865577241745,0.016322242453258754,-0.04407617699531149
2012-04-20,-0.10997061173983981,-0.12595160822646434,-0.139050133400583
2012-04-23,-0.07337783971862243,-0.07470904556319011,-0.03574668269044297
2012-04-24,-0.05923797429741284,0.036171001338148566,-0.18108514984068383
2012-04-25,-0.02588630026899689,-0.07482259404645407,-0.23580245499965932
2012-04-26,-0.19543687741152388,-0.22368961996883957,-0.350871886927145
2012-04-27,0.03116362806510596,-0.29166659119989713,-0.16878889178013395
2012-05-02,0.1109439044961722,-0.2332917657284883,-0.17272178374235064
2012-05-03,-0.13897969430026236,-0.23213445816342718,-0.10494165341082143
