date,1D,5D,10D
2012-01-04,0.23540174860924287,-0.032524820912404176,0.09321123767523166
2012-01-05,-0.03003082500804666,-0.30427545754281793,-0.008151533385958745
2012-01-06,-0.14760170895729804,-0.1086757218667851,0.022810400490888463
2012-01-09,-0.4509059221992043,0.30626216055242417,0.14634759314965812
2012-01-10,-0.25161593497081497,0.47417067974473087,0.3647489617489665
2012-01-11,0.14195847477476425,0.5445977713135368,0.36672417722228157
2012-01-12,0.43662289966421886,0.55311990891132,0.4169415705678802
2012-01-13,0.3573667608603381,0.3149788375446854,0.033039041629393515
2012-01-16,0.1047604056339788,-0.012009043587990957,-0.27157579262842424
2012-01-17,0.4894347958195075,-0.07363107952619383,-0.39036948566870056
2012-01-18,0.017331273010893104,-0.6035699556949582,-0.5080409473648133
2012-01-19,-0.30412823711023945,-0.4917596761684476,-0.5795556169969552
2012-01-20,-0.4803406026961442,-0.47695572507318756,-0.5256665527625276
2012-01-30,-0.0336537911266486,-0.3713553520816534,-0.42561381059558767
2012-01-31,-0.37321700520203505,-0.36351839042884926,-0.385017386821513
2012-02-01,0.21710578216969675,-0.10299386350957665,-0.14834866986357717
2012-02-02,-0.07965608924973341,-0.1544436442842484,-0.20233006973384524
2012-02-03,-0.021763027926478627,-0.13064535606147856,-0.09404650694089185
2012-02-06,-0.016140939996903983,0.024907565627357887,-0.027199689445820546
2012-02-07,-0.24247698021696185,0.015287242455631239,0.01677396412974466
2012-02-08,0.09905462402165115,0.11375228144902248,0.07977589635504113
2012-02-09,-0.17983321154899876,0.11454971650295713,0.03841776990679179
2012-02-10,0.37233334884013736,0.17572801559735185,0.041454636854913345
2012-02-13,-0.02114543009243614,-0.03737192319068299,-0.04152775714922253
2012-02-14,-0.043828474207485174,0.018701959385343872,-0.15511195255141547
2012-02-15,-0.07520334702823271,0.10601829745336402,-0.11470500328066725
2012-02-16,-0.15085371188487587,0.045020393707084674,-0.03867720817576291
2012-02-17,-0.12384310872179186,0.02770247221673638,0.05260882445009207
2012-02-20,0.0329089979881138,0.15760577157521213,0.1708231282312939
2012-02-21,0.22393684546502315,-0.046240601825896135,0.16997731270846056
2012-02-22,-0.17272918402052848,-0.18130232247879305,0.0908551194335106
2012-02-23,-0.08797768882458461,-0.07109120614210473,0.1318594876738427
2012-02-24,0.0841196140073698,0.06665480747281437,0.17825052530934885
2012-02-27,-0.11725367347735871,-0.01437174786068557,0.15314230843964033
2012-02-28,-0.19830811256213923,-0.0756713523885063,-0.0845901381100687
2012-02-29,-0.14341667680508222,-0.11418190958218609,-0.08004958469957842
2012-03-01,-0.08353670241546858,-0.04529578906601957,0.012959466677382939
2012-03-02,0.12700291508071312,-0.006088428681107653,-0.025423052695397456
2012-03-05,0.12631714245949394,-0.04811201115084489,-0.046387971711586144
2012-03-06,-0.02487275307032422,-0.1658850119002271,-0.13867515043898593
2012-03-07,0.02015425902935939,-0.2643230564547514,-0.19069777925539408
2012-03-08,-0.18297231879088255,-0.24057634549173632,-0.20071457168947893
2012-03-09,0.015638689441494595,-0.06677799856255022,-0.18624017625201408
2012-03-12,-0.16830530846633368,0.07803393451204979,-0.1475124132715136
2012-03-13,-0.3075812445813297,0.06064682924173654,-0.16335672905461326
2012-03-14,0.23843680959305408,0.22083649069330674,-0.14817374872147165
2012-03-15,0.4390870935385933,-0.154604536892196,-0.2208975135876586
2012-03-16,0.03460911353698474,-0.4562235469308568,-0.4199784382530758
2012-03-19,-0.26246451075245597,-0.35096780164059427,-0.35643468770629033
2012-03-20,-0.27361252003501446,-0.3884101550292498,-0.272386100072977
2012-03-21,-0.42696408622691,-0.3852239880265519,-0.2524221818473779
2012-03-22,-0.19039455500979557,-0.14421492656786775,-0.16984909985790994
2012-03-23,0.03646653573564079,-0.19012147711699284,-0.12349318137508081
2012-03-26,-0.1904270268910684,-0.18632758973303368,-0.19959037378392216
2012-03-27,-0.08358011828465985,-0.0343162681229792,-0.11730155189300692
2012-03-28,0.13393700400688438,0.006582218992753397,-0.08708294123282034
2012-03-29,-0.18195466397051213,-0.06989728883658759,-0.13978262130046765
2012-03-30,-0.12516831638651557,-0.06807520166082853,-0.17283393632479646
2012-04-05,-0.014505170947481215,0.003524301560144884,-0.10144921494025065
2012-04-06,0.06208288467694535,-0.09372074666192313,-0.11115548910900434
2012-04-09,0.01873045318585134,-0.01994638334178489,-0.11034423634305256
2012-04-10,0.08942487642142068,-0.24392778118328554,-0.10641015965828765
2012-04-11,-0.17392044660745018,-0.20579103464531995,-0.13974247525148134
2012-04-12,-0.2869167623284682,-0.23131376805135095,-0.08815738712236566
2012-04-13,0.07516626134687762,-0.07767702447787969,-0.08476109645301474
2012-04-16,-0.4225693690697151,-0.08472410327591502,-0.04369165245095
2012-04-17,0.12079747999653903,-0.027199433938818084,-0.025715431945783476
2012-04-18,-0.09164371756130896,-0.0928228867425931,-0.02549700220935063
2012-04-19,0.029046886298107782,0.003652605726436165,-0.06436692095929261
2012-04-20,-0.013873917739730143,-0.010629816635663033,-0.14881122389423826
2012-04-23,-0.0039153109500017075,-0.011099039791784837,-0.21007275032833725
2012-04-24,-0.13806451053351182,-0.009047510743776573,-0.34496643496275387
2012-04-25,0.0045663712304120875,-0.20052542078289343,-0.3804844994070975
2012-04-26,-0.07895237599985276,-0.33111091111376745,-0.4182239679139048
2012-04-27,0.0498117855172206,-0.4192354551374197,-0.3489760680045401
2012-05-02,-0.14870292836856183,-0.421757897472069,-0.3755775501309014
2012-05-03,-0.20921358278895089,-0.3479199103003029,-0.2647856111703149
